name,rating,genre,year,score,director,writer,star,budget,gross,runtime
King of the Mountain,PG,Action,1981,5.5,Noel Nosseck,David Barry,Harry Hamlin,2000000,1791147,90
Scream,R,Horror,1981,2.9,Byron Quisenberry,Byron Quisenberry,Pepper Martin,,,82
The Devil and Max Devlin,PG,Comedy,1981,5,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,,16000000,96
The Amateur,R,Crime,1981,5.8,Charles Jarrott,Robert Littell,John Savage,,6892098,112
Longshot,TV-PG,Comedy,1981,5.1,E.W. Swackhamer,Barry Rosen,Leif Garrett,,,100
Comin' at Ya!,R,Western,1981,5.1,Ferdinando Baldi,Wolfe Lowenthal,Tony Anthony,,12000000,91
Le Pont du Nord,Not Rated,Adventure,1981,6.9,Jacques Rivette,Bulle Ogier,Bulle Ogier,,17110,129
Silence of the North,PG,Drama,1981,6.3,Allan King,Olive Frederickson,Ellen Burstyn,,1622898,94
Fast Times at Ridgemont High,R,Comedy,1982,7.2,Amy Heckerling,Cameron Crowe,Sean Penn,4500000,27092880,90
Blade Runner,R,Action,1982,8.1,Ridley Scott,Hampton Fancher,Harrison Ford,28000000,41676878,117
The Thing,R,Horror,1982,8.1,John Carpenter,Bill Lancaster,Kurt Russell,15000000,19632053,109
Conan the Barbarian,R,Action,1982,6.9,John Milius,Robert E. Howard,Arnold Schwarzenegger,20000000,68851475,129
E.T. the Extra-Terrestrial,PG,Family,1982,7.8,Steven Spielberg,Melissa Mathison,Henry Thomas,10500000,792910554,115
First Blood,R,Action,1982,7.7,Ted Kotcheff,David Morrell,Sylvester Stallone,15000000,125212904,93
An Officer and a Gentleman,R,Drama,1982,7,Taylor Hackford,Douglas Day Stewart,Richard Gere,7500000,129795554,124
Grease 2,PG,Comedy,1982,4.4,Patricia Birch,Ken Finkleman,Michelle Pfeiffer,13200000,15171476,115
Annie,PG,Comedy,1982,6.6,John Huston,Carol Sobieski,Aileen Quinn,50000000,57063861,127
Poltergeist,PG,Horror,1982,7.3,Tobe Hooper,Steven Spielberg,JoBeth Williams,10700000,77142388,114
48 Hrs.,R,Action,1982,6.9,Walter Hill,Roger Spottiswoode,Nick Nolte,12000000,78868508,96
Star Trek II: The Wrath of Khan,PG,Action,1982,7.7,Nicholas Meyer,Gene Roddenberry,William Shatner,11200000,78912963,113
Paradise,R,Adventure,1982,4.9,Stuart Gillard,Stuart Gillard,Willie Aames,,5588800,100
The Last American Virgin,R,Comedy,1982,6.3,Boaz Davidson,Boaz Davidson,Lawrence Monoson,,5829781,92
Sophie's Choice,R,Drama,1982,7.6,Alan J. Pakula,William Styron,Meryl Streep,12000000,30036000,150
Gandhi,PG,Biography,1982,8,Richard Attenborough,John Briley,Ben Kingsley,22000000,52767889,191
Tootsie,PG,Comedy,1982,7.4,Sydney Pollack,Don McGuire,Dustin Hoffman,21000000,177200000,116
Tron,PG,Action,1982,6.8,Steven Lisberger,Steven Lisberger,Jeff Bridges,17000000,33000525,96
The Secret of NIMH,G,Animation,1982,7.6,Don Bluth,Robert C. O'Brien,Elizabeth Hartman,7000000,14665733,82
The King of Comedy,PG,Comedy,1982,7.8,Martin Scorsese,Paul D. Zimmerman,Robert De Niro,20000000,2536242,109
Rocky III,PG,Drama,1982,6.8,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,17000000,125052686,99
The Beastmaster,PG,Action,1982,6.2,Don Coscarelli,Don Coscarelli,Marc Singer,8000000,14056528,118
Creepshow,R,Comedy,1982,6.9,George A. Romero,Stephen King,Hal Holbrook,8000000,21028755,120
The Man from Snowy River,PG,Adventure,1982,7.3,George Miller,A.B. 'Banjo' Paterson,Kirk Douglas,3500000,20659423,102
Pink Floyd: The Wall,R,Drama,1982,8,Alan Parker,Roger Waters,Bob Geldof,12000000,22265763,95
Cat People,R,Fantasy,1982,6.2,Paul Schrader,DeWitt Bodeen,Nastassja Kinski,18000000,7000000,118
Fanny and Alexander,R,Drama,1982,8.1,Ingmar Bergman,Ingmar Bergman,Bertil Guve,6000000,6795771,188
Friday the 13th Part III,R,Horror,1982,5.7,Steve Miner,Martin Kitrosser,Dana Kimmell,2300000,36690067,95
Firefox,PG,Action,1982,6,Clint Eastwood,Alex Lasker,Clint Eastwood,18000000,46708276,136
Halloween III: Season of the Witch,R,Horror,1982,5,Tommy Lee Wallace,Tommy Lee Wallace,Tom Atkins,2500000,14400000,98
The Dark Crystal,PG,Adventure,1982,7.2,Jim Henson,David Odell,Jim Henson,15000000,41630431,93
The Verdict,R,Drama,1982,7.7,Sidney Lumet,Barry Reed,Paul Newman,16000000,53993738,129
Pieces,Not Rated,Horror,1982,6.1,Juan Piquer Simón,Dick Randall,Christopher George,300000,2032311,85
Zapped!,R,Comedy,1982,4.9,Robert J. Rosenthal,Bruce Rubin,Scott Baio,,16897768,98
